Item,Category,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,States
Double CROISSAN’WICH® with Sausage,Breakfast,710.0,52.0,20.0,0.5,240.0,1420.0,31.0,1.0,5.0,29.0,Burger King,Unknown
Double CROISSAN’WICH® with Ham & Sausage,Breakfast,580.0,38.0,16.0,0.5,220.0,1530.0,31.0,1.0,5.0,27.0,Burger King,Unknown
Fully Loaded Biscuit,Breakfast,640.0,45.0,20.0,0.0,225.0,2190.0,31.0,1.0,4.0,28.0,Burger King,Unknown
"Ham, Egg, & Cheese Biscuit",Breakfast,400.0,24.0,12.0,0.0,175.0,1550.0,29.0,1.0,3.0,17.0,Burger King,Unknown
"Sausage, Egg, & Cheese Biscuit",Breakfast,530.0,38.0,17.0,0.0,195.0,1440.0,29.0,1.0,3.0,19.0,Burger King,Unknown
"Bacon, Egg & Cheese Biscuit",Breakfast,400.0,26.0,13.0,0.0,170.0,1270.0,29.0,1.0,3.0,13.0,Burger King,Unknown
Sausage Biscuit,Breakfast,420.0,28.0,6.0,0.0,35.0,1050.0,28.0,1.0,2.0,12.0,Burger King,Unknown
Breakfast Burrito Jr.,Breakfast,370.0,23.0,8.0,0.0,150.0,930.0,27.0,3.0,2.0,15.0,Burger King,Unknown
EGG-NORMOUS BURRITOΡ,Breakfast,780.0,42.0,15.0,0.0,355.0,1960.0,68.0,3.0,4.0,32.0,Burger King,Unknown
BK™ Ultimate Breakfast Platter,Breakfast,930.0,44.0,11.0,0.0,390.0,2230.0,110.0,4.0,40.0,24.0,Burger King,Unknown
NY Ultimate Platter (Regional menu item),Breakfast,900.0,46.0,12.0,0.0,380.0,1760.0,95.0,5.0,31.0,25.0,Burger King,Unknown
Pancake and Sausage platter,Breakfast,610.0,31.0,9.0,0.0,80.0,1010.0,72.0,1.0,30.0,12.0,Burger King,Unknown
Hash Browns – small,Breakfast,250.0,16.0,3.5,0.0,0.0,580.0,24.0,3.0,0.0,2.0,Burger King,Unknown
Hash Browns – medium,Breakfast,500.0,33.0,7.0,0.0,0.0,1140.0,48.0,7.0,0.0,4.0,Burger King,Unknown
Hash Browns – large,Breakfast,670.0,44.0,9.0,0.0,0.0,1530.0,65.0,9.0,0.0,5.0,Burger King,Unknown
French Toast Sticks (3 piece),Breakfast,230.0,11.0,2.0,0.0,0.0,260.0,29.0,1.0,8.0,3.0,Burger King,Florida
French Toast Sticks (5 piece),Breakfast,380.0,18.0,3.0,0.0,0.0,430.0,49.0,2.0,13.0,5.0,Burger King,Florida
American Cheese (slice),Breakfast,40.0,3.5,2.0,0.0,10.0,180.0,1.0,0.0,0.0,2.0,Burger King,Unknown
Ketchup (Packet),Breakfast,10.0,0.0,0.0,0.0,0.0,125.0,3.0,0.0,2.0,0.0,Burger King,Unknown
Mayonnaise (Packet),Breakfast,80.0,9.0,0.5,0.0,10.0,75.0,1.0,0.0,0.0,0.0,Burger King,Unknown
Strawberry or Grape Jam (packet),Breakfast,30.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,Burger King,Unknown
Breakfast Syrup (1 oz),Breakfast,120.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,18.0,0.0,Burger King,Unknown
Barbecue Dipping Sauce (1 oz),Breakfast,40.0,0.0,0.0,0.0,0.0,310.0,11.0,0.0,10.0,0.0,Burger King,Unknown
Ranch Dipping Sauce (1 oz),Breakfast,140.0,15.0,2.5,0.0,10.0,85.0,1.0,0.0,1.0,1.0,Burger King,Unknown
Buffalo Dipping Sauce (1 oz),Breakfast,80.0,8.0,1.5,0.0,5.0,360.0,2.0,0.0,1.0,0.0,Burger King,Unknown
Zesty Onion Ring Dipping Sauce (1 oz),Breakfast,150.0,15.0,2.5,0.0,20.0,240.0,3.0,0.0,0.0,0.0,Burger King,Unknown
Honey Mustard Dipping Sauce (1oz),Breakfast,90.0,6.0,1.0,0.0,10.0,180.0,8.0,0.0,7.0,0.0,Burger King,Unknown
Egg McMuffin,Breakfast,300.0,13.0,5.0,0.0,260.0,750.0,31.0,4.0,3.0,17.0,McDonald's,Washington
Egg White Delight,Breakfast,250.0,8.0,3.0,0.0,25.0,770.0,30.0,4.0,3.0,18.0,McDonald's,Unknown
Sausage McMuffin,Breakfast,370.0,23.0,8.0,0.0,45.0,780.0,29.0,4.0,2.0,14.0,McDonald's,Unknown
Sausage McMuffin with Egg,Breakfast,450.0,28.0,10.0,0.0,285.0,860.0,30.0,4.0,2.0,21.0,McDonald's,Unknown
Sausage McMuffin with Egg Whites,Breakfast,400.0,23.0,8.0,0.0,50.0,880.0,30.0,4.0,2.0,21.0,McDonald's,Unknown
Steak & Egg McMuffin,Breakfast,430.0,23.0,9.0,1.0,300.0,960.0,31.0,4.0,3.0,26.0,McDonald's,Washington
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",Breakfast,460.0,26.0,13.0,0.0,250.0,1300.0,38.0,2.0,3.0,19.0,McDonald's,Unknown
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",Breakfast,520.0,30.0,14.0,0.0,250.0,1410.0,43.0,3.0,4.0,19.0,McDonald's,Unknown
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",Breakfast,410.0,20.0,11.0,0.0,35.0,1300.0,36.0,2.0,3.0,20.0,McDonald's,Unknown
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",Breakfast,470.0,25.0,12.0,0.0,35.0,1420.0,42.0,3.0,4.0,20.0,McDonald's,Unknown
Sausage Biscuit (Regular Biscuit),Breakfast,430.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,McDonald's,Unknown
Sausage Biscuit (Large Biscuit),Breakfast,480.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0,McDonald's,Unknown
