Item,Category,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,States
Hot Fudge Sundae,Desserts,330.0,9.0,7.0,0.0,25.0,170.0,53.0,1.0,48.0,8.0,McDonald's,Unknown
Hot Caramel Sundae,Desserts,340.0,8.0,5.0,0.0,30.0,150.0,60.0,0.0,43.0,7.0,McDonald's,Unknown
Strawberry Sundae,Desserts,280.0,6.0,4.0,0.0,25.0,85.0,49.0,0.0,45.0,6.0,McDonald's,Unknown
Coca-Cola Classic (Small),Beverages,140.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Medium),Beverages,200.0,0.0,0.0,0.0,0.0,5.0,55.0,0.0,55.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Large),Beverages,280.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,76.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Child),Beverages,100.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,McDonald's,Unknown
Diet Coke (Small),Beverages,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Large),Beverages,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Child),Beverages,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Dr Pepper (Small),Beverages,140.0,0.0,0.0,0.0,0.0,45.0,37.0,0.0,35.0,0.0,McDonald's,Unknown
Dr Pepper (Medium),Beverages,190.0,0.0,0.0,0.0,0.0,65.0,53.0,0.0,51.0,0.0,McDonald's,Unknown
Dr Pepper (Large),Beverages,270.0,0.0,0.0,0.0,0.0,90.0,72.0,0.0,70.0,0.0,McDonald's,Unknown
Dr Pepper (Child),Beverages,100.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,26.0,0.0,McDonald's,Unknown
Diet Dr Pepper (Small),Beverages,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,McDonald's,Unknown
Diet Dr Pepper (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,McDonald's,Unknown
Diet Dr Pepper (Large),Beverages,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,4.0,McDonald's,Unknown
Diet Dr Pepper (Child),Beverages,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,McDonald's,Unknown
